ID,label_key,English value,?? value
87,label.total.rooms,Total Rooms,Total de habitaciones
88,label.date,Date,Fecha
89,label.total.rooms,Total Rooms,Total de habitaciones
90,label.booked.rooms,Booked Rooms,Cuartos reservados
91,label.available.rooms,Available Rooms,Cuartos disponibles
92,label.cut.off,Cut-Off,Cortar
93,label.contract,Contract,Contrato
94,label.promotion.code,Promotion Code,El código de promoción
95,label.promotion.name,Promotion Name,Nombre de la promoción
96,label.promotion.type,Promotion Type,Tipo de promoción
97,label.promotion,Promotion,Promoción
98,label.booking.conditions,Booking Conditions,Condiciones de reserva
99,label.travel.conditions,Travel Conditions,Condiciones de viaje
100,label.inventory.contract,Inventory Contract,Contrato de inventario
101,label.applicable.from,Applicable From,Aplicable desde
102,label.applicable.to,Applicable To,Aplicable a
103,label.applicable.days,Applicable Days,Días aplicables
104,label.blackout.from,Blackout From,Apagón de
105,label.blackout.to,Blackout To,Apagón a
106,label.sdvance.purchase.from,Advance Purchase From,Compra anticipada de
107,label.advance.purchase.to,Advance Purchase To,Compra anticipada a
108,label.minimum.nights,Minimum Nights,Mínimo de noches
109,label.apply.minimum.nights,Apply Minimum Nights,Aplicar noches mínimas
110,label.report.content.by,Report Conent Of,Denunciar Conent Of
111,label.dynamic.details,Dynamic Details,Detalles dinámicos
112,label.static.details,Static Details,Detalles estáticos
113,label.search.by.option,Search By Option,Buscar por opción
114,label.by.contract,By Contract,Por contrato
115,label.by.rate.plan,By Rate Plan,Por plan de tarifas
116,label.by.hotel,By Hotel,Por Hotel
117,label.by.room.type,By Room Type,Por tipo de habitación
118,label.contract.rooms,Contract Rooms,Salas de contrato
119,Label.hotel.tax.details,Hotel Tax Details,Detalles del impuesto sobre el hotel
120,label.billing.information,Billing Information,Datos de facturación
121,label.room.types.inventory,Room Types Inventory,Inventario de tipos de habitaciones
122,label.rate.plan.rates,Rate Plan Rates,Precios de tarifas
123,label.hotel,Hotel,Hotel
124,label.gps.location,GPS Location,Localización GPS
125,label.room.combinations.and.occupancy,Room Combinations and Occupancy,Combinaciones de habitaciones y ocupación
126,label.contract.scenarios,Contract Scenarios,Escenarios de contratos
127,label.hotel.type,Hotel Type,Tipo de Hotel
128,label.short.description,Short Description,Descripción breve
129,label.detailed.description,Detailed Description,Descripción detallada
130,label.directions,Directions,Direcciones
131,label.near.by.attractions,Near By Attractions,Atracciones cercanas
132,label.hotel.amenities,Hotel Amenities,Servicios del hotel
133,label.hotel.gallery,Hotel Gallery,Galería del hotel
134,label.room.details,Room Details,Detalles de la habitación
135,label.room.amenities,Room Amenities,Servicios en la habitación
136,label.room.gallery,Room Gallery,Galería de habitaciones
216,label.cancellation.policy.information,Cancellation Policy Information,Información sobre la política de cancelación
217,label.tax.information,Tax Information,Información sobre los impuestos
218,label.rate.contract.details,Rate Contract Details,Detalles del contrato de tarifa
219,label.business.contact.details,Business Contact Details,Detalles del contacto comercial
220,label.email.id,Email Id,Identificación de correo
221,label.contact.no,Contact No,Contacto No
222,label.address.information,Address Information,Datos del Domicilio
223,label.account.information,Account Information,Información de la cuenta
224,label.no.data.found,No Data Found,Datos no encontrados
225,label.tax.and.other.charges,Tax and other charges,Impuestos y otros cargos
226,label.sales.tax,Sales Tax,Impuesto de venta
227,label.occupancy.tax,Occupancy Tax(on Room Nights),Impuesto de ocupación (en noches de habitación)
149,label.baggage.hand.luggage.info,Baggage & Hand Luggage info,Equipaje & Mano Equipaje info
150,label.by.program,By Program,Por Programa
151,label.by.activity,By Activity,Por Actividad
152,label.contract.period,Contract Period,Período de contrato
153,label.rates,Rates,Tarifas
154,label.activity.combination.name,Activity Combination Name,Nombre de la combinación de actividades
155,label.contact.details,Contact Details,Detalles de contacto
156,label.optional.standard.info,Optional Standard Info,Información Estándar Opcional
157,label.rules,Rules,Reglas
158,label.images,Images,Imágenes
159,label.additional.adult.rate,Additional Adult Rate,Tarifa adicional para adultos
160,label.child.rate,Child Rate,Tarifa por niño
161,label.min.nights,Min Nights,Min Noches
162,label.max.nights,Max Nights,Noches máximas
163,label.reservation.date,Reservation Date,Fecha de reserva
164,label.first.element.date,First Element Date,Primer elemento Fecha
165,label.reservation.no,Reservation No,Reserva No
166,label.reservation.channel,Reservation Channel,Canal de reservaciones
167,label.all,All,Todas
168,label.web,Web,Web
169,label.call.center,Call Center,Centro de llamadas
170,label.pos,POS,POS
171,label.mobile,Mobile,Móvil
172,label.xmlout,Xmlout,Xmlout
173,label.pos.location.name,POS Location Name,Nombre de ubicación de POS
174,label.direct,Direct,Directo
175,label.b2b.partner,B2BPartner,B2BPartner
176,label.affiliates,Affiliates,Afiliados
177,label.partner.name,Partner Name,Nombre del socio
178,label.payment.gateway,Payment Gateway,Gateway de pago
179,label.transaction.type,Transaction Type,tipo de transacción
180,label.sales,Sales,Ventas
181,label.refund,Refund,Reembolso
182,label.refund.type,Refund Type,Tipo de reembolso
183,label.all.cancelled,All Cancelled,Todos cancelados
184,label.cancelled.and.pending.refund,Cancelled and Pending Refund,Reembolso cancelado y pendiente
185,label.cancelled.and.refunded,Cancelled And Refunded,Cancelado y reembolsado
186,label.cancellation.buffer,Cancellation Buffer,Solución de cancelación
187,label.days,Day(s),Días)
188,label.standered.cancellation.policies,Standered Cancellation Policies,Políticas de Cancelación Standered
189,label.arrivel.is.less.than,Arrivel is less than (Days),Arrivel es menor que (Días)
190,label.based.on,Based on,Residencia en
191,label.value,Value,Valor
192,label.percentage,Percentage,Porcentaje
193,label.nights,Nights,Noches
194,label.applicable.region,AR - Applicable Region,AR - Región aplicable
195,label.applicable.country,AC - Applicable Country,AC - País Aplicable
196,label.excluded.country,EC - Excluded Country,CE - País excluido
197,label.general,Ge - General,Ge - General
198,label.guaranteed,Gu - Guaranteed,Gu - Garantizado
199,label.pre.purchased,Pp - Pre-purchased,Pp - Pre-comprado
200,label.blackout.applies,Red - Blackout applies,Rojo - se aplica el apagón
201,label.business.to.business,B2B - Business to Business,B2B - Negocios a empresas
202,label.business.to.customer,B2C - Business to Customer,B2C - Negocios a cliente
203,label.call.center.booking.channel,CC - Call Center Booking Channel,CC - Centro de llamadas
204,label.mobile.booking.channel,Mob - Mobile Booking Channel,Mob - Canal de reserva móvil
205,label.dynamic.package,DP - Dynamic Package,DP - Paquete dinámico
206,label.shopping.cart,SC - Shopping Cart,SC - Carrito de la compra
207,label.fixed.package,FP - Fixed Package,FP - Paquete fijo
208,label.entered,Entered,Ingresó
209,label.not.entered,Not Entered,No entró
210,label.partially.entered,Partially Entered,Participa parcialmente
211,label.of.res.value, % Of Res.Value, % De Res.Value
212,label.no.of.nights,No Of Nights,No de noches
213,label.no.show.cancellation.policy,No Show Cancellation Policy,No hay política de cancelación
214,label.cancellation.information,Cancellation Information,Información de cancelación
215,label.pre.filter.parameters,Pre Filter Parameters,Parámetros Pre Filter
228,label.energy.tax,Energy Tax,Impuesto sobre la energía
229,label.maid.service.taxes,Maid Service Taxes,Impuestos de servicio de limpieza
230,Label.resort.fee,Resort Fee,Tarifa del complejo
231,label.miscellaneous.fee,Miscellaneous Fee,Tarifa Miscelánea
232,label.travel.from,Travel From,Viajar desde
233,label.travel.to,Travel To,Viajar a
234,label.arrival.is.less.than,Arrival is less than(days),Llegada es menos de (días)
235,label.scp.based.on,SCP-Based on,SCP-Basado en
236,label.value.in,Value in $,Valor en $
237,label.of.reservation.value,% of Reservation Value,% Del valor de la reserva
238,label.ns.based on,NS-Based on,NS-Basado en
239,label.apply.if.less.than,Apply if less than,Aplicar si es menor de
240,label.standard.cancellation,Standard Cancellation,Cancelación estándar
241,label.no.show.cancellation,No Show Cancellation,No hay cancelación
242,label.based.on,Based On,Residencia en
243,label.apply.if.arrival.date.is.less.than,Apply if Arrival Date is less than,Aplicar si la fecha de llegada es menor que
244,label.view.modify.search.criteria,View / Modify Search Criteria,Ver / modificar criterios de búsqueda
245,label.contract.wise.view,Contract wise view,Contract wise view
246,label.activity.program.name,Activity Program Name,Nombre del programa de actividad
247,label.rate.contract.type,Rate Contract Type,Tipo de contrato de tarifa
248,label.region,Region,Región
